movie_title,genre_score
0.0MHz,0
12 솔져스,2
1987,1
1급기밀,1
23 아이덴티티,0
47 미터,0
50가지 그림자: 심연,2
50가지 그림자: 해방,2
7년의 밤,1
7호실,1
PMC: 더 벙커,1
가디언즈 오브 갤럭시 VOL. 2,2
가려진 시간,2
가버나움,1
감바의 대모험,1
갓 오브 이집트,1
강철비,2
걸캅스,2
검사외전,1
겟 아웃,0
계춘할망,1
"고산자, 대동여지도",0
고스트버스터즈,3
고질라: 킹 오브 몬스터,2
곤지암,0
골든슬럼버,1
곰돌이 푸 다시 만나 행복해,1
공각기동대 : 고스트 인 더 쉘,2
공범자들,0
공작,1
공조,1
공포의 묘지,0
구스범스,3
국가부도의 날,1
군함도,2
굿 다이노,2
궁합,2
귀향,1
그것,1
그것만이 내 세상,2
"그날, 바다",0
그날의 분위기,1
그레이트 월,2
그린 북,1
그린치,1
극장판 공룡메카드: 타이니소어의 섬,0
극장판 도라에몽: 진구의 보물섬,1
극장판 소드 아트 온라인 -오디널 스케일-,2
극장판 안녕 자두야,0
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,0
극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,0
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,0
극장판 포켓몬스터 너로 정했다!,1
극장판 포켓몬스터 모두의 이야기,0
극장판 헬로카봇 : 백악기 시대,0
극한직업,1
글래스,2
글로리데이,1
기묘한 가족,1
기생충,1
기억의 밤,0
꾼,0
"나는 내일, 어제의 너와 만난다",2
나를 잊지 말아요,1
나를 차버린 스파이,2
나미야 잡화점의 기적,2
나우 유 씨 미 2,1
나의 소녀시대,2
나의 특별한 형제,2
남한산성,1
내 사랑,2
내안의 그놈,2
너의 결혼식,1
너의 췌장을 먹고 싶어,1
널 기다리며,0
넛잡 2,2
노무현입니다,0
눈길,1
닌자터틀 : 어둠의 히어로,2
다운사이징,2
다이버전트 시리즈: 얼리전트,2
닥터 스트레인지,2
달빛궁궐,1
당갈,2
"당신, 거기 있어줄래요",2
대니쉬 걸,1
대립군,1
대장 김창수,1
더 넌,0
더 킹,1
더 테이블,2
더 페이버릿: 여왕의 여자,1
더 포스트,1
더 프레데터,2
덕구,1
덕혜옹주,1
덤보,1
덩케르크,2
데드풀,2
데드풀 2,3
도리를 찾아서,2
도어락,1
독수리 에디,1
돈,0
동네사람들,1
동주,1
드래곤 길들이기 3,0
드림 쏭,0
딥워터 호라이즌,2
라스트 미션,1
라이트 아웃,0
라이프,1
램페이지,1
러브 유어셀프 인 서울,0
럭키,1
런닝맨 : 풀룰루의 역습,0
런던 해즈 폴른,1
레고 배트맨 무비,2
레드 스패로,0
레디 플레이어 원,2
레버넌트: 죽음에서 돌아온 자,2
레슬러,2
레이디 버드,2
레전드 오브 타잔,2
레지던트 이블: 파멸의 날,2
로건,2
로그 원: 스타워즈 스토리,2
"로봇, 소리",1
로켓맨,2
롱 리브 더 킹: 목포 영웅,2
루돌프와 많이있어,0
루시드 드림,1
리얼,1
리틀 포레스트,1
마녀,1
마스터,1
마약왕,1
마이펫 오지,1
마이펫의 이중생활,1
말모이,1
매그니피센트 7,1
맨 인 더 다크,0
맨 인 블랙: 인터내셔널,3
메가로돈,2
메리 포핀스 리턴즈,1
메리와 마녀의 꽃,1
메이즈 러너: 데스 큐어,2
명탐정 코난:진홍의 연가,0
명탐정 피카츄,3
모아나,0
모털 엔진,2
목격자,0
목소리의 형태,1
몬스터 패밀리,0
몬스터 호텔 3,1
문라이트,1
물괴,1
미 비포 유,2
미녀와 야수,2
미드나잇 선,1
미래의 미라이,0
미성년,1
미션 임파서블: 폴아웃,1
미스 페레그린과 이상한 아이들의 집,1
미스컨덕트,0
미쓰백,1
미씽: 사라진 여자,0
미옥,1
미이라,2
밀정,1
바람 바람 바람,1
바울,1
바이스,1
박열,1
반드시 잡는다,0
발레리나,1
발레리안: 천 개 행성의 도시,2
배심원들,1
배트맨 대 슈퍼맨: 저스티스의 시작,2
버닝,0
범블비,2
범죄도시,1
베놈,2
베이비 드라이버,1
벤허,2
벽 속에 숨은 마법시계,1
변산,1
보스 베이비,1
보안관,1
보통사람,1
보헤미안 랩소디,1
봉이 김선달,0
부라더,1
부산행,1
부탁 하나만 들어줘,0
부활,1
분노의 질주: 더 익스트림,1
불한당: 나쁜 놈들의 세상,2
브리짓 존스의 베이비,2
브이아이피,1
블랙 팬서,3
블레이드 러너 2049,2
비밀은 없다,0
비스트,0
비정규직 특수요원,2
빅쇼트,1
빅풋 주니어,1
뺑반,1
뽀로로 극장판 공룡섬 대모험,0
뽀로로 극장판 보물섬 대모험,0
사냥,1
사라진 밤,0
사랑하기 때문에,2
사바하,0
살인자의 기억법,0
상류사회,1
생일,1
샤잠!,1
"서서평, 천천히 평온하게",0
서울역,0
서치,1
석조저택 살인사건,0
설리: 허드슨강의 기적,1
성난황소,1
셰이프 오브 워터: 사랑의 모양,1
속닥속닥,0
수어사이드 스쿼드,1
순정,1
슈퍼배드 3,0
스머프: 비밀의 숲,0
스윙키즈,1
스카이스크래퍼,1
스타 이즈 본,2
스타워즈: 라스트 제다이,2
스타트렉 비욘드,2
스파이더맨: 뉴 유니버스,1
스포트라이트,1
스플릿,1
시간위의 집,0
시간이탈자,0
시카리오: 데이 오브 솔다도,2
신데렐라:마법 반지의 비밀,1
신비아파트: 금빛 도깨비와 비밀의 동굴,1
신비한 동물들과 그린델왈드의 범죄,1
신비한 동물사전,1
싱 스트리트,2
싱글라이더,1
씽,0
아가씨,1
아기배달부 스토크,0
아메리칸 메이드,1
아빠는 딸,1
아수라,1
아이 캔 스피크,1
아이 필 프리티,1
아이스 에이지: 지구 대충돌,2
아쿠아맨,1
아토믹 블론드,1
악녀,1
악인전,1
악질경찰,1
"안녕, 나의 소녀",1
안시성,1
알라딘,1
알리타: 배틀 엔젤,3
암수살인,1
애나벨 집으로,0
앤트맨과 와스프,2
앨빈과 슈퍼밴드: 악동 어드벤처,2
앵그리버드 더 무비,0
어느 가족,1
어느날,1
어린 의뢰인,1
어스,0
어쌔신 크리드,2
어쌔신: 더 비기닝,1
언니,1
언더 워터,0
언더독,0
얼라이드,2
얼리맨,0
업그레이드,1
에이리언: 커버넌트,1
엑스맨: 다크 피닉스,2
엑스맨: 아포칼립스,2
염력,2
예수는 역사다,1
오리엔트 특급 살인,1
오션스8,1
옥자,3
완벽한 타인,2
요로나의 저주,0
우상,0
워크래프트: 전쟁의 서막,2
원더,1
원더풀 고스트,2
원라인,0
원피스 필름 골드,1
위대한 소원,2
위대한 쇼맨,1
유전,0
이스케이프 룸,1
인시디어스4: 라스트 키,0
인천상륙작전,1
인크레더블 2,2
인페르노,0
임금님의 사건수첩,3
자백,0
자전차왕 엄복동,1
장난감이 살아있다,1
장난스런 키스,1
장산범,0
재심,1
잭 리처: 네버 고 백,2
저수지 게임,0
점박이 한반도의 공룡2 : 새로운 낙원,0
정글북,2
제 5침공,2
제이슨 본,1
조선명탐정: 흡혈괴마의 비밀,2
조작된 도시,1
존 윅 - 리로드,1
존 윅 3: 파라벨룸,1
좋아해줘,2
주먹왕 랄프 2: 인터넷 속으로,2
주토피아,2
죽여주는 여자,1
쥬라기 월드: 폴른 킹덤,2
쥬만지: 새로운 세계,2
증인,1
지금 만나러 갑니다,1
지오스톰,2
짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,0
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,0
창궐,1
채비,1
챔피언,1
천로역정: 천국을 찾아서,1
청년경찰,1
치즈인더트랩,1
침묵,1
카3: 새로운 도전,2
카페 소사이어티,2
캐롤,1
캐리비안의 해적: 죽은 자는 말이 없다,2
캡틴 마블,2
커뮤터,1
컨저링 2,0
컨택트,2
코코,0
콜 미 바이 유어 네임,2
콜드 체이싱,1
콩: 스컬 아일랜드,2
콰이어트 플레이스,1
쿵푸팬더3,2
크게 될 놈,1
크레이지 리치 아시안,2
클로버필드 10번지,0
킬러의 보디가드,2
킹 아서: 제왕의 검,2
킹스맨: 골든 서클,3
탐정 홍길동: 사라진 마을,2
탐정: 리턴즈,1
택시운전사,1
터널,1
터닝메카드W: 블랙미러의 부활,0
토르: 라그나로크,2
토이 스토리 4,2
툼레이더,2
트랜스포머: 최후의 기사,2
트롤,0
트루스 오어 데어,0
트리플 엑스 리턴즈,2
특별수사: 사형수의 편지,1
특별시민,1
파리로 가는 길,2
판도라,1
패딩턴 2,2
패신저스,1
퍼스트맨,2
퍼시픽 림: 업라이징,2
페르디난드,2
포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,1
프리즌,1
플로렌스,1
플립,2
피터 래빗,0
피터와 드래곤,1
하루,0
한 솔로: 스타워즈 스토리,2
할로윈,0
항거:유관순 이야기,1
해빙,0
해어화,1
해피 데스데이,0
해피 데스데이 2 유,1
핵소 고지,1
허리케인 하이스트,1
허스토리,1
헌츠맨: 윈터스 워,2
헬보이,2
협상,0
형,2
호두까기 인형과 4개의 왕국,2
혹성탈출: 종의 전쟁,3
혼숨,0
후드,1
희생부활자,0
히든 피겨스,1
